KEGG_module	Low_A	Low_B	High_A	High_B
Nitrogen_metabolism	399.25	199.2	130.59	0
Methane_metabolism	17121.72	20633.81	31785.74	16822.52
Sulfur_metabolism	5320.98	6077.4	5762.23	4580.87
Photosynthesis	6553.32	40847.12	55201.64	129825.94
ATP_synthesis	58850.99	45995.37	49470.13	50600.52
Oxidative_phosphorylation	67116.6	54022.28	55510.65	54980.4
Central_carbohydrate_metabolism	72352.48	68973.32	69869.5	49212.84
Other_carbohydrate_metabolism	74111.58	75727.83	64728.85	53558.99
Fatty_acid_metabolism	34526.38	41748.24	31787.52	22464.4
Lipid_metabolism	4141.01	4306.85	2924.52	2487.27
Lipopolysaccharide_metabolism	6629.54	7202.93	6426.58	5892.91
Glycan_metabolism	119.7	70.24	60.72	57.31
Terpenoid_backbone_biosynthesis	4207.83	6130.06	3804.78	3410.07
Sterol_biosynthesis	97.58	226.38	82.05	137.78
Nucleotide_sugar	4517.55	3528.84	2822.81	2661.19
Purine_metabolism	13125.44	12284.65	14492.99	11013.52
Pyrimidine_metabolism	16767.27	14683.55	14889.8	13586.87
Serine_threonine_metabolism	12573.06	10801.98	8453.14	6706.58
Cysteine_methionine_metabolism	16046.04	15467.38	16406.68	10325.77
Branched_chain_amino_acid_metabolism	31791.21	42689.77	18576.55	12391.6
Lysine_metabolism	16443.42	16768.08	15821.21	10679.77
Arginine_proline_metabolism	2543.93	3087.48	2039.47	1824.55
Histidine_metabolism	5248.39	5263.19	2574.41	2918.57
Aromatic_amino_acid_metabolism	14956.04	13690.21	9946.98	5428.03
Other_amino_acid_metabolism	1779.72	1750.58	1399.34	950.71
Polyamine_biosynthesis	2793.07	3080.38	2413.54	2034.4
Cofactor_vitamin_biosynthesis	52122.73	53540.16	49533.15	37099.57
Aromatics_degredation	810.15	770.68	403.4	183.49
DNA_polymerase	9416.36	9902.74	8713.82	5694.34
RNA_polymerase	53209.26	45342.67	43786.57	34814.31
Ribosome	330802.81	306115.63	339730.36	385730.24
Protein_processing	0	0	0	0
Proteasome	69.56	122.44	0	0
Ubiquitin_system	18.01	3.4	4.11	0
Mineral_and_organic_ion_transport	1984.47	2141.46	1723.79	1236.85
Saccharide_polyol_lipid_transport	2117.92	2141.32	5837	2042.39
Phosphate_AA_transport_system	2757.51	7590.78	7545.76	10370
Peptide_nickel_transport	4236.8	4542.8	5887.99	2316.03
Metallic_cation_siderophore_B12_transport	1435.98	1328.11	734.81	613.9
ABC_2_type_and_other_transport	13944.23	14289.91	11133.63	8744.07
Bacterial_secretion_system	32521.79	31598.63	32523.84	31253.08
Two_component_regulatory_system	4361.8	5226.92	4982.01	5348.35
Cell_signaling	56.49	85.23	77.36	0
